  Frequency            , I(Rload)             
  3.221068791283e+00  ,2.118705989026e-05  
  3.228494121713e+00  ,2.118705989324e-05  
  3.235936569296e+00  ,2.118705989622e-05  
  3.243396173493e+00  ,2.118705989922e-05  
  3.250872973854e+00  ,2.118705990223e-05  
  3.258367010020e+00  ,2.118705990526e-05  
  3.265878321723e+00  ,2.118705990830e-05  
  3.273406948788e+00  ,2.118705991135e-05  
  3.280952931131e+00  ,2.118705991442e-05  
  3.288516308760e+00  ,2.118705991750e-05  
  3.296097121774e+00  ,2.118705992060e-05  
  3.303695410368e+00  ,2.118705992371e-05  
  3.311311214826e+00  ,2.118705992684e-05  
  3.318944575526e+00  ,2.118705992998e-05  
  3.326595532940e+00  ,2.118705993313e-05  
  3.334264127632e+00  ,2.118705993630e-05  
  3.341950400261e+00  ,2.118705993948e-05  
  3.349654391578e+00  ,2.118705994268e-05  
  3.357376142429e+00  ,2.118705994589e-05  
  3.365115693755e+00  ,2.118705994912e-05  
  3.372873086589e+00  ,2.118705995236e-05  
  3.380648362060e+00  ,2.118705995562e-05  
  3.388441561392e+00  ,2.118705995890e-05  
  3.396252725904e+00  ,2.118705996218e-05  
  3.404081897010e+00  ,2.118705996549e-05  
  3.411929116219e+00  ,2.118705996880e-05  
  3.419794425137e+00  ,2.118705997214e-05  
  3.427677865464e+00  ,2.118705997549e-05  
  3.435579478999e+00  ,2.118705997885e-05  
  3.443499307633e+00  ,2.118705998223e-05  
  3.451437393358e+00  ,2.118705998563e-05  
  3.459393778261e+00  ,2.118705998904e-05  
  3.467368504525e+00  ,2.118705999247e-05  
  3.475361614432e+00  ,2.118705999591e-05  
  3.483373150360e+00  ,2.118705999937e-05  
  3.491403154786e+00  ,2.118706000284e-05  
  3.499451670283e+00  ,2.118706000633e-05  
  3.507518739526e+00  ,2.118706000984e-05  
  3.515604405283e+00  ,2.118706001336e-05  
  3.523708710425e+00  ,2.118706001690e-05  
  3.531831697919e+00  ,2.118706002046e-05  
  3.539973410834e+00  ,2.118706002403e-05  
  3.548133892336e+00  ,2.118706002762e-05  
  3.556313185690e+00  ,2.118706003122e-05  
  3.564511334262e+00  ,2.118706003484e-05  
  3.572728381519e+00  ,2.118706003848e-05  
  3.580964371026e+00  ,2.118706004214e-05  
  3.589219346450e+00  ,2.118706004581e-05  
  3.597493351557e+00  ,2.118706004950e-05  
  3.605786430216e+00  ,2.118706005321e-05  
  3.614098626396e+00  ,2.118706005693e-05  
  3.622429984167e+00  ,2.118706006067e-05  
  3.630780547701e+00  ,2.118706006443e-05  
  3.639150361272e+00  ,2.118706006820e-05  
  3.647539469256e+00  ,2.118706007199e-05  
  3.655947916131e+00  ,2.118706007580e-05  
  3.664375746478e+00  ,2.118706007963e-05  
  3.672823004981e+00  ,2.118706008348e-05  
  3.681289736425e+00  ,2.118706008734e-05  
  3.689775985701e+00  ,2.118706009122e-05  
  3.698281797803e+00  ,2.118706009512e-05  
  3.706807217826e+00  ,2.118706009904e-05  
  3.715352290972e+00  ,2.118706010297e-05  
  3.723917062546e+00  ,2.118706010692e-05  
  3.732501577957e+00  ,2.118706011089e-05  
  3.741105882720e+00  ,2.118706011488e-05  
  3.749730022455e+00  ,2.118706011889e-05  
  3.758374042884e+00  ,2.118706012292e-05  
  3.767037989839e+00  ,2.118706012696e-05  
  3.775721909254e+00  ,2.118706013103e-05  
  3.784425847171e+00  ,2.118706013511e-05  
  3.793149849737e+00  ,2.118706013921e-05  
